"Area","Date","Daily-Confirmed","Daily-Deceased","Daily-Vaccinated1","Daily-Vaccinated2","Total-Vaccinated1","Total-Vaccinated2"
"INDIA","2021-06-02","134044","2898","2253664","243362","175665160","45378533"
"INDIA","2021-06-03","132424","2717","2820937","244818","178486097","45623351"
"INDIA","2021-06-04","120454","3372","3466241","284628","181952338","45907979"
"INDIA","2021-06-05","114488","2682","3186164","275936","185138502","46183915"
"INDIA","2021-06-06","101209","2444","1376271","87794","186514773","46271709"
"INDIA","2021-06-07","85804","2107","3080974","331270","189595747","46602979"
"INDIA","2021-06-08","92787","2222","2541386","318248","192137133","46921227"
"INDIA","2021-06-09","93883","6139","3345812","322521","195482945","47243748"
"INDIA","2021-06-10","91849","3414","3028629","330327","198511574","47574075"
"INDIA","2021-06-11","84574","3996","3178575","336080","201690149","47910155"
"INDIA","2021-06-12","80525","3300","3203312","391432","204893461","48301587"
"INDIA","2021-06-13","71001","3922","1476211","178042","206369672","48479629"
"INDIA","2021-06-14","60008","2733","3797074","397697","210166746","48877326"
"INDIA","2021-06-15","62217","2540","2515180","412767","212681926","49290093"
"INDIA","2021-06-16","67289","2329","3166154","381078","215848080","49671171"
"INDIA","2021-06-17","62436","1591","3025536","415612","218873616","50086783"
"INDIA","2021-06-18","60765","1645","3027665","400719","221901281","50487502"
"INDIA","2021-06-19","58615","1574","3785805","518984","225687086","51006486"
"INDIA","2021-06-20","52978","1424","3054688","288638","228741774","51295124"
"INDIA","2021-06-21","42683","1167","7939714","789589","236681488","52084713"
"INDIA","2021-06-22","50817","1359","5213016","660294","241894504","52745007"
"INDIA","2021-06-23","54309","1323","6330421","656096","248224925","53401103"
"INDIA","2021-06-24","51659","1328","5512946","809770","253737871","54210873"
"INDIA","2021-06-25","48768","1183","6096901","1000281","259834772","55211154"
"INDIA","2021-06-26","49844","1258","5549787","1164364","265384559","56375518"
"INDIA","2021-06-27","46523","978","1549319","353901","266933878","56729419"
"INDIA","2021-06-28","37070","907","4197459","1168754","271131337","57898173"
"INDIA","2021-06-29","46104","819","2882263","942754","274013600","58840927"
"INDIA","2021-06-30","48606","1002","2086280","775212","276099880","59616139"
"INDIA","2021-07-01","46781","857","3354211","1006002","279454091","60622141"
"INDIA","2021-07-02","44187","737","3289358","1245701","282743449","61867842"
"INDIA","2021-07-03","43027","950","4393712","2216303","287137161","64084145"
"INDIA","2021-07-04","40150","725","1186521","484219","288323682","64568364"
"INDIA","2021-07-05","34026","552","2848708","1812858","291172390","66381222"
"INDIA","2021-07-06","43964","930","2534442","1235494","293706832","67616716"
"INDIA","2021-07-07","45701","819","2183038","1340963","295889870","68957679"
"INDIA","2021-07-08","43504","908","2789043","1354630","298678913","70312309"
"INDIA","2021-07-09","42660","1207","2063829","1141217","300742742","71453526"
"INDIA","2021-07-10","41494","898","2428756","1407562","303171498","72861088"
"INDIA","2021-07-11","37654","720","847354","472561","304018852","73333649"
"INDIA","2021-07-12","30818","2024","2593929","1521216","306612781","74854865"
"INDIA","2021-07-13","40314","625","4774758","1455531","311387539","76310396"
"INDIA","2021-07-14","41759","578","2141963","1500593","313529502","77810989"
"INDIA","2021-07-15","39071","544","2586687","1416589","316116189","79227578"
"INDIA","2021-07-16","38117","560","2549037","1803075","318665226","81030653"
"INDIA","2021-07-17","41283","517","3228536","2007300","321893762","83037953"
"INDIA","2021-07-18","38330","501","1050674","499104","322944436","83537057"
"INDIA","2021-07-19","29420","372","3448347","1916561","326392783","85453618"
"INDIA","2021-07-20","42128","3998","2323429","1302625","328716212","86756243"
"INDIA","2021-07-21","41687","510","1543000","835696","330259212","87591939"
"INDIA","2021-07-22","34863","480","3685939","1879940","333945151","89471879"
"INDIA","2021-07-23","39501","542","2874665","1590566","336819816","91062445"
"INDIA","2021-07-24","40286","541","3567879","1700724","340387695","92763169"
"INDIA","2021-07-25","38179","411","1415012","630125","341802707","93393294"
"INDIA","2021-07-26","30820","418","4713442","2002952","346516149","95396246"
"INDIA","2021-07-27","42971","641","2807912","1436352","349324061","96832598"
"INDIA","2021-07-28","43165","640","3221210","1328388","352545271","98160986"
"INDIA","2021-07-29","44671","549","3595468","1732029","356140739","99893015"
"INDIA","2021-07-30","41499","598","3679574","1805151","359820313","101698166"
"INDIA","2021-07-31","41943","542","6985847","1794270","366806160","103492436"
"INDIA","2021-08-01","40629","424","1188426","736617","367994586","104229053"
"INDIA","2021-08-02","30085","420","4632340","1688135","372626926","105917188"
"INDIA","2021-08-03","42530","561","5463671","1278785","378090597","107195973"
"INDIA","2021-08-04","42797","532","3035678","1020047","381126275","108216020"
"INDIA","2021-08-05","45005","465","4504775","1480525","385631050","109696545"
"INDIA","2021-08-06","38705","616","4410510","1271504","390041560","110968049"
"INDIA","2021-08-07","39068","491","4336591","1464292","394378151","112432341"
"INDIA","2021-08-08","36036","447","1289442","564825","395667593","112997166"
"INDIA","2021-08-09","27428","376","4490464","1345045","400158057","114342211"
"INDIA","2021-08-10","38380","496","3438031","1142225","403596088","115484436"
"INDIA","2021-08-11","41586","491","3384241","1206254","406980329","116690690"
"INDIA","2021-08-12","40081","583","4649027","1262910","411629356","117953600"
"INDIA","2021-08-13","38761","477","5216759","1390188","416846115","119343788"
"INDIA","2021-08-14","36135","491","5729286","1927101","422575401","121270889"
"INDIA","2021-08-15","33245","421","1497349","513649","424072750","121784538"
"INDIA","2021-08-16","24696","438","7122059","1751262","431194809","123535800"
"INDIA","2021-08-17","35208","440","4525247","1396174","435720056","124931974"
"INDIA","2021-08-18","36502","527","4382113","1454290","440102169","126386264"
"INDIA","2021-08-19","36600","543","4383862","1409193","444486031","127795457"
"INDIA","2021-08-20","34308","376","2817431","1018431","447303462","128813888"
"INDIA","2021-08-21","31023","401","3452188","1919839","450755650","130733727"
"INDIA","2021-08-22","25420","385","757884","302334","451513534","131036061"
"INDIA","2021-08-23","24794","357","4637675","1810535","456151209","132846596"
"INDIA","2021-08-24","37739","650","4651574","1855214","460802783","134701810"
"INDIA","2021-08-25","46129","605","6078076","2263806","466880859","136965616"
"INDIA","2021-08-26","44550","493","5957914","2404153","472838773","139369769"
"INDIA","2021-08-27","46806","514","8037926","2742666","480876699","142112435"
"INDIA","2021-08-28","45064","457","5152003","2776790","486028702","144889225"
"INDIA","2021-08-29","43374","527","2477586","985845","488506288","145875070"
"INDIA","2021-08-30","30248","205","4514477","1632809","493020765","147507879"
"INDIA","2021-08-31","43073","462","10310762","3274102","503331527","150781981"
"INDIA","2021-09-01","45975","507","6468099","2455727","509799626","153237708"
"INDIA","2021-09-02","45624","355","5731712","2190922","515531338","155428630"
"INDIA","2021-09-03","42667","342","4334875","1916362","519866213","157344992"
"INDIA","2021-09-04","42607","309","4680717","2777599","524546930","160122591"
"INDIA","2021-09-05","39537","218","1834867","1037374","526381797","161159965"
"INDIA","2021-09-06","30164","290","8334026","3186988","534715823","164346953"
"INDIA","2021-09-07","38135","368","5842003","2638239","540557826","166985192"
"INDIA","2021-09-08","43401","339","6339180","2715230","546897006","169700422"
"INDIA","2021-09-09","24151","258","4946114","2241044","551843120","171941466"
